id_rank,CREDIT_FLAG,AGE,mobile_fixed_days,adr_stability_days,consume_steady_byxs_1y,use_mobile_2_cnt_1y,activity_area_stability,last_1y_total_active_biz_cnt,have_car_flag,have_fang_flag,last_6m_avg_asset_total,last_3m_avg_asset_total,last_1m_avg_asset_total,last_1y_avg_asset_total,tot_pay_amt_6m,tot_pay_amt_3m,tot_pay_amt_1m,ebill_pay_amt_6m,ebill_pay_amt_3m,ebill_pay_amt_1m,avg_puc_sdm_last_1y,xfdc_index,pre_1y_pay_cnt,pre_1y_pay_amount,auth_fin_last_1m_cnt,auth_fin_last_3m_cnt,auth_fin_last_6m_cnt,credit_pay_amt_1m,credit_pay_amt_3m,credit_pay_amt_6m,credit_pay_amt_1y,credit_pay_months_1y,credit_total_pay_months,credit_duration,positive_biz_cnt_1y,ovd_order_cnt_1m,ovd_order_amt_1m,ovd_order_cnt_3m,ovd_order_amt_3m,ovd_order_cnt_6m,ovd_order_amt_6m,ovd_order_cnt_12m,ovd_order_amt_12m,ovd_order_c0t_3m_m1_status,ovd_order_c0t_6m_m1_status,ovd_order_c0t_12m_m1_status,ovd_order_c0t_12m_m3_status,ovd_order_c0t_12m_m6_status,ovd_order_c0t_21_m3_status,ovd_order_c0t_21_m6_status,ovd_order_c0t_51_m3_status,ovd_order_c0t_51_m6_status,relevant_stability,sns_pii
5530,1,67,9,7,5,1,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,5,6,3,1,1,1,1,1,1,1,1,3,9,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1
5996,1,45,5,4,8,1,2,6,2,2,4,4,2,4,6,7,6,7,8,9,1,8,9,10,1,2,2,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,3
9755,1,34,10,10,9,1,5,4,2,2,2,2,2,4,3,3,5,6,5,8,1,4,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6,3
14170,1,28,9,6,7,2,3,4,2,1,3,3,4,3,2,3,5,5,6,8,1,3,3,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,2
14421,1,32,5,8,4,1,3,3,2,2,3,3,4,3,2,3,5,5,6,8,1,7,9,9,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,2
14945,1,31,3,7,8,2,2,3,1,2,2,2,2,4,2,3,2,4,3,3,1,3,7,6,1,1,3,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3
16059,1,30,9,9,5,3,10,10,2,2,8,8,5,7,14,15,11,13,14,14,1,7,7,5,1,2,2,4,3,4,3,5,6,10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,9
16897,1,31,9,7,9,1,2,5,2,2,3,2,2,4,2,3,4,5,5,6,1,8,5,5,1,1,1,3,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,2
18180,1,34,8,1,8,2,2,10,2,2,15,15,15,15,15,15,15,10,10,9,1,7,10,9,1,2,3,2,2,3,4,7,10,10,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,9
20714,-1,21,3,3,6,3,6,10,1,1,8,8,7,7,6,5,6,7,6,8,1,4,10,7,1,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,8
