id_rank,CREDIT_FLAG,AGE,adr_stability_days,consume_steady_byxs_1y,last_1y_total_active_biz_cnt,last_6m_avg_asset_total,last_3m_avg_asset_total,last_1m_avg_asset_total,last_1y_avg_asset_total,tot_pay_amt_6m,tot_pay_amt_3m,tot_pay_amt_1m,ebill_pay_amt_6m,ebill_pay_amt_3m,ebill_pay_amt_1m,xfdc_index,pre_1y_pay_cnt,pre_1y_pay_amount,auth_fin_last_1m_cnt,auth_fin_last_3m_cnt,auth_fin_last_6m_cnt,credit_pay_amt_1m,credit_pay_amt_3m,credit_pay_amt_6m,credit_pay_amt_1y,credit_pay_months_1y,credit_total_pay_months,credit_duration,relevant_stability,sns_pii,use_mobile_2_cnt_1y,activity_area_stability,positive_biz_cnt_1y
20549,0,27,4,8,10,2,2,2,2,5,3,5,6,2,3,10,9,4,1,2,4,2,2,2,3,6,6,5,9,5,4,3,1
12576,1,41,9,8,6,4,5,6,4,2,2,3,4,3,4,5,9,8,2,2,2,1,1,1,1,1,1,3,8,1,2,2,2
13632,1,30,5,8,10,7,8,8,6,9,8,9,8,7,8,10,10,10,2,3,4,2,2,2,2,1,2,1,7,5,2,4,2
15402,1,32,4,5,6,5,5,6,5,2,2,3,2,3,4,6,3,4,1,1,1,1,2,2,2,2,5,3,9,3,3,3,2
16128,1,25,6,5,8,5,2,2,7,3,3,2,4,6,3,3,7,7,1,1,1,1,1,1,1,1,1,1,4,7,2,4,1
16398,1,36,4,4,7,9,9,8,9,6,6,6,4,3,4,2,5,4,1,1,2,4,3,4,4,10,6,6,3,6,2,2,1
19553,1,27,1,3,6,2,2,2,5,5,5,3,3,2,1,2,7,6,1,2,2,5,5,5,4,8,5,3,8,5,3,2,1
21168,0,33,2,5,10,6,6,6,6,10,11,13,10,10,11,6,10,10,1,3,3,5,5,4,5,10,7,7,8,9,3,5,3
21373,0,34,6,8,4,3,3,2,3,2,3,4,4,5,7,4,10,9,1,3,3,1,1,1,2,2,2,7,7,3,2,2,1
1811,1,28,2,2,4,2,2,2,2,5,6,8,4,4,6,4,8,8,1,2,2,4,3,3,3,9,6,3,1,1,1,2,2
22821,0,45,4,7,7,2,2,1,2,7,8,7,8,8,7,5,8,8,3,4,4,2,4,4,3,6,6,5,5,8,2,3,1
3449,1,35,1,5,5,4,1,1,3,2,3,5,3,4,6,1,3,6,1,2,3,1,1,1,1,1,1,4,2,3,1,1,2
5042,1,29,10,2,10,15,15,15,15,10,10,13,10,10,8,7,10,10,2,2,2,8,5,5,5,7,9,8,3,8,1,4,4
6063,1,36,9,3,10,9,9,8,9,5,5,7,8,9,9,7,5,4,1,1,2,10,9,8,8,10,9,8,7,8,1,4,2
7467,1,35,7,9,4,3,3,3,3,3,3,2,6,5,2,7,2,2,1,2,2,1,1,1,1,1,2,8,2,1,1,2,1
8822,1,35,5,10,6,2,2,1,2,5,5,7,6,6,5,9,2,2,2,2,2,1,1,1,1,1,1,2,2,6,1,2,1
20474,0,31,1,8,6,4,4,5,3,6,8,9,3,3,5,10,7,8,2,3,3,5,4,3,2,2,2,6,7,6,1,1,1
10382,1,38,10,7,7,2,2,2,8,5,5,7,9,9,10,9,2,2,1,3,3,1,1,1,1,1,3,8,3,5,1,2,1
12551,1,23,4,7,5,4,4,5,3,2,3,4,3,3,4,2,4,3,2,3,3,1,1,1,1,1,1,1,6,6,3,3,1
13164,1,29,4,3,8,7,8,8,7,8,7,8,4,5,6,6,7,7,1,1,2,4,6,5,4,10,9,6,4,6,1,2,1
16471,1,26,9,6,6,9,9,9,8,6,7,8,4,4,6,3,5,5,1,1,1,2,2,2,3,7,7,4,8,6,2,7,2
20725,0,23,2,4,7,2,2,2,2,7,6,6,5,4,5,3,9,7,3,4,4,4,4,3,3,8,5,3,7,6,2,2,2
19899,1,27,5,10,5,3,4,5,3,4,5,5,3,3,6,3,2,2,1,1,1,4,4,3,2,4,3,2,3,3,1,4,1
21445,0,26,8,7,3,2,2,1,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,3,1
830,1,21,2,7,7,8,8,7,8,5,5,4,8,9,7,4,2,3,1,1,2,1,1,1,1,1,1,1,7,4,2,3,2
944,1,45,2,7,4,2,2,2,2,2,2,1,3,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1
1160,1,28,10,3,9,7,8,6,11,8,8,7,7,7,6,3,3,3,1,1,1,6,7,6,6,10,9,10,2,9,1,5,1
22577,0,29,6,9,8,5,6,5,5,8,8,8,6,8,8,7,4,5,1,1,2,9,7,7,5,6,4,5,4,8,4,3,2
22604,0,26,2,8,8,3,3,3,4,8,8,8,9,9,9,4,5,4,2,2,3,1,2,2,2,3,3,2,4,5,1,4,4
22740,0,26,9,9,9,3,3,2,3,8,8,5,10,10,5,10,5,9,3,4,5,1,3,5,4,3,3,2,8,8,3,2,1
3215,1,31,1,9,6,2,2,3,2,2,2,2,2,2,2,9,2,2,2,2,2,3,2,2,2,2,2,3,3,4,1,1,1
4164,0,36,9,6,7,7,8,5,7,8,9,9,8,9,9,4,10,7,4,4,4,1,1,1,1,1,1,1,2,6,2,2,2
24420,0,26,5,8,5,2,2,2,2,4,4,3,4,2,3,4,3,3,1,1,3,1,1,1,1,1,1,2,6,3,2,2,1
6507,1,36,1,7,4,2,2,1,2,6,6,6,3,3,3,10,5,6,1,2,2,3,2,2,2,5,4,4,4,3,1,1,1
7185,1,30,7,8,4,4,3,3,5,4,2,3,8,3,4,10,2,2,1,1,2,1,1,1,1,1,1,1,2,2,1,3,2
8115,1,28,5,10,10,9,9,10,12,6,8,4,5,3,4,10,5,6,1,1,1,1,1,1,1,1,1,1,5,7,1,3,1
8926,1,27,8,9,10,11,11,11,11,8,9,10,6,5,7,6,8,5,1,2,2,5,4,4,5,10,10,7,7,7,2,2,4
11091,1,27,7,7,10,3,3,3,7,7,5,6,5,5,4,4,3,2,1,3,3,1,1,1,2,4,4,3,5,6,2,4,2
